ZIP Code,ZHVF 1-Year Forecast (%)
77494,2.8
8701,2.7
77449,2.9
11368,0.8
77084,2.8
79936,3.5
11385,0.5
78660,1.9
11208,1.0
90011,2.0
77433,2.7
60629,2.4
90650,2.8
91331,3.3
37013,3.8
11236,1.0
10467,1.2
11373,-0.4
11226,0.0
11207,1.2
30044,5.8
90044,2.3
92336,5.0
94565,0.5
77573,2.6
92335,5.1
90201,2.7
90250,2.3
10025,-0.1
75052,3.8
90805,2.7
11214,0.2
60618,1.7
93307,4.7
90280,2.6
11234,0.7
91342,3.1
92683,3.5
10314,0.9
11220,0.1
60639,2.4
78245,2.9
11219,1.5
92503,5.1
78521,3.7
11206,1.9
11221,0.2
10456,0.2
92345,5.0
77479,2.5
91911,4.1
30043,5.5
11223,0.3
78542,6.5
78613,2.0
11230,0.1
60647,1.5
93033,2.7
95076,2.2
92154,4.1
77429,2.7
10458,2.2
92376,4.9
60804,2.9
11377,0.4
79938,2.9
92804,3.6
91710,4.7
93722,3.6
94112,-0.3
99301,4.5
11235,0.2
60632,2.8
77584,2.7
11229,0.4
95823,2.4
78130,2.9
60617,2.8
22193,1.8
11233,0.3
75217,4.5
10453,1.4
27587,4.6
73099,3.7
77379,2.6
96706,1.0
11204,0.7
37042,5.9
85142,5.3
30024,5.7
10468,1.2
79928,3.1
95035,1.5
91744,3.1
60608,2.1
11355,0.4
92509,5.1
78666,1.6
11203,0.6
93257,3.9
93550,2.9
60625,2.2
10457,0.8
66062,3.6
92592,5.2
60623,3.1
95630,1.9
10452,0.7
28269,5.4
92880,5.0
94544,0.8
90706,2.7
78577,6.8
78641,1.3
93535,3.1
77459,2.5
10469,1.3
10029,0.4
92704,3.2
93274,4.3
11218,0.9
75035,3.9
11212,0.9
10462,1.2
91335,3.1
27610,5.1
60634,2.2
30349,5.8
94533,1.7
28027,5.2
34787,4.4
87121,5.3
76244,3.6
77083,2.9
10002,0.1
23464,3.3
76063,3.5
10466,1.4
11375,-0.1
98052,4.0
34953,5.7
33024,5.7
33411,5.5
75002,3.8
79912,3.3
93536,2.8
91709,4.6
91910,4.1
98012,4.0
94513,0.5
78572,6.0
11691,1.1
75211,4.2
85225,5.2
30040,5.8
93727,3.5
89108,3.5
91706,2.5
90003,2.2
22191,1.7
92126,4.8
19120,3.9
30041,5.7
76028,3.5
30052,5.4
80013,3.1
11215,0.4
75228,4.2
20002,0.8
63376,3.2
37211,3.7
60085,3.5
76179,3.5
77407,2.9
60657,2.2
30047,5.9
33025,5.3
10463,0.9
33311,6.1
96797,1.4
83646,5.2
92553,5.1
11209,-0.1
84043,4.4
14850,3.1
93306,4.6
80015,3.0
77095,2.6
93230,4.1
30127,5.1
28277,5.1
77845,1.0
89031,3.3
20906,1.2
46307,2.1
95747,1.8
94536,1.1
92563,5.3
45011,4.4
97229,2.1
90255,2.4
92105,4.0
60614,1.9
92021,4.0
91730,4.6
60620,2.1
33023,5.8
94110,-0.4
85364,6.0
7055,1.3
77450,2.8
11213,1.2
47906,4.7
94509,0.7
93065,2.4
95687,1.6
11201,0.0
92882,5.3
7305,1.3
19124,4.0
94558,2.5
94538,0.9
37075,3.6
91766,3.1
92805,3.2
78254,3.0
60641,2.5
78046,1.5
33012,5.3
33015,4.9
90631,3.6
80134,2.7
33186,5.1
30281,5.4
28078,5.1
60640,2.6
32218,4.5
85032,5.4
33647,5.3
10977,2.9
17603,4.5
11210,0.5
2301,3.3
87114,4.7
90026,1.1
94587,1.0
32828,4.5
85326,5.6
92801,3.6
11372,0.4
34711,4.4
95624,2.3
75067,3.6
91402,3.1
11432,0.4
89115,3.4
10027,-0.2
6902,3.6
10472,0.6
77036,2.6
19111,3.5
78045,1.0
21234,2.1
7087,0.7
95123,1.7
92114,4.2
11746,2.4
94541,0.7
23462,3.3
75068,3.8
20011,1.2
32822,4.4
32765,4.5
89121,3.6
11434,0.7
30004,5.4
85204,5.5
48197,2.4
30022,5.3
33157,5.7
90262,2.4
43081,5.0
84096,3.5
75243,4.1
84015,4.6
89110,3.5
90037,2.1
75098,3.6
11211,0.9
60628,2.0
32210,4.7
92407,5.0
10312,0.9
