,RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,Percent Change
0,91982,1,77494,zip,TX,TX,Katy,"Houston-The Woodlands-Sugar Land, TX",Fort Bend County,1.3319503992400914
1,91940,3,77449,zip,TX,TX,Katy,"Houston-The Woodlands-Sugar Land, TX",Harris County,-0.5904184632436943
2,91733,5,77084,zip,TX,TX,Houston,"Houston-The Woodlands-Sugar Land, TX",Harris County,1.7204567826762311
3,93144,6,79936,zip,TX,TX,El Paso,"El Paso, TX",El Paso County,5.5153339351284565
4,62093,7,11385,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,2.503067909806428
5,92593,8,78660,zip,TX,TX,Pflugerville,"Austin-Round Rock-Georgetown, TX",Travis County,0.4604924032421122
6,62019,9,11208,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,9.75746895156803
8,91926,11,77433,zip,TX,TX,Cypress,"Houston-The Woodlands-Sugar Land, TX",Harris County,2.004643330103725
9,84630,12,60629,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,7.548484818713429
10,96193,13,90650,zip,CA,CA,Norwalk,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,11.622926811232222
11,74101,15,37013,zip,TN,TN,Nashville,"Nashville-Davidson--Murfreesboro--Franklin, TN",Davidson County,-1.8993700676622303
13,61807,17,10467,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Bronx County,6.786889400566485
14,62085,18,11373,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,7.481933085974102
15,62037,19,11226,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,2.9128564560694157
16,62018,20,11207,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,5.467135616631173
17,70829,21,30044,zip,GA,GA,Lawrenceville,"Atlanta-Sandy Springs-Alpharetta, GA",Gwinnett County,0.609049823653546
18,96025,22,90044,zip,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,8.030802858467604
19,96817,23,92336,zip,CA,CA,Fontana,"Riverside-San Bernardino-Ontario, CA",San Bernardino County,9.790610836294976
20,97771,24,94565,zip,CA,CA,Pittsburg,"San Francisco-Oakland-Berkeley, CA",Contra Costa County,4.772530983288555
21,92036,25,77573,zip,TX,TX,League City,"Houston-The Woodlands-Sugar Land, TX",Galveston County,3.7760651221671884
24,96107,28,90250,zip,CA,CA,Hawthorne,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,3.007732982389003
25,61639,29,10025,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,3.3613944514674055
26,90654,30,75052,zip,TX,TX,Grand Prairie,"Dallas-Fort Worth-Arlington, TX",Dallas County,-2.2155901942564875
27,96239,31,90805,zip,CA,CA,Long Beach,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,6.592815801253024
28,62025,32,11214,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,11.318504348781584
29,84620,33,60618,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,8.165734079603924
33,96368,37,91342,zip,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,4.258616423354526
34,96990,38,92683,zip,CA,CA,Westminster,"Los Angeles-Long Beach-Anaheim, CA",Orange County,0.5746280862765804
35,61790,39,10314,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Richmond County,15.405884810219158
36,62031,40,11220,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,5.165321381508427
37,84639,41,60639,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,6.066342465494614
38,92341,42,78245,zip,TX,TX,San Antonio,"San Antonio-New Braunfels, TX",Bexar County,-3.7044439517372783
40,96882,44,92503,zip,CA,CA,Riverside,"Riverside-San Bernardino-Ontario, CA",Riverside County,1.165025171423585
42,62017,47,11206,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,3.8521334034411345
43,62032,48,11221,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,2.3687076937206344
44,61796,49,10456,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Bronx County,13.671398924512376
45,96825,50,92345,zip,CA,CA,Hesperia,"Riverside-San Bernardino-Ontario, CA",San Bernardino County,3.490714114696943
46,91968,51,77479,zip,TX,TX,Sugar Land,"Houston-The Woodlands-Sugar Land, TX",Fort Bend County,5.195695785699154
47,96546,52,91911,zip,CA,CA,Chula Vista,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,3.095958223884656
48,70828,53,30043,zip,GA,GA,Lawrenceville,"Atlanta-Sandy Springs-Alpharetta, GA",Gwinnett County,0.4773744871420184
49,62034,54,11223,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,5.312509800190025
51,92551,56,78613,zip,TX,TX,Cedar Park,"Austin-Round Rock-Georgetown, TX",Williamson County,-3.592288430687835
52,62040,57,11230,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,4.8230308617398
53,84646,58,60647,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,7.560516358397079
56,96690,61,92154,zip,CA,CA,San Diego,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,5.3673362410382355
57,91922,62,77429,zip,TX,TX,Cypress,"Houston-The Woodlands-Sugar Land, TX",Harris County,-1.91388121989179
58,61798,63,10458,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Bronx County,9.84255209867055
59,96846,64,92376,zip,CA,CA,Rialto,"Riverside-San Bernardino-Ontario, CA",San Bernardino County,4.34296956977956
61,62088,66,11377,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,6.282953436931751
62,93146,67,79938,zip,TX,TX,El Paso,"El Paso, TX",El Paso County,5.177189636936993
