Unnamed: 0,SizeRank,RegionName,StateName,State,City,Metro,CountyName,Percent Change,ZHVF 1-Year Forecast (%),Mean Income,luxury_business_count
0,1,77494,TX,TX,Katy,"Houston-The Woodlands-Sugar Land, TX",Fort Bend County,1.3319503992400914,2.8,77902.36363636363,0
1,3,77449,TX,TX,Katy,"Houston-The Woodlands-Sugar Land, TX",Harris County,-0.5904184632436943,2.9,55577.0,0
2,5,77084,TX,TX,Houston,"Houston-The Woodlands-Sugar Land, TX",Harris County,1.7204567826762311,2.8,61070.454545454544,0
3,6,79936,TX,TX,El Paso,"El Paso, TX",El Paso County,5.5153339351284565,3.5,48117.545454545456,0
4,7,11385,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,2.503067909806428,0.5,56380.27272727273,0
5,8,78660,TX,TX,Pflugerville,"Austin-Round Rock-Georgetown, TX",Travis County,0.4604924032421122,1.9,62969.454545454544,0
6,9,11208,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,9.75746895156803,1.0,33400.63636363636,0
8,11,77433,TX,TX,Cypress,"Houston-The Woodlands-Sugar Land, TX",Harris County,2.004643330103725,2.7,74136.18181818182,0
9,12,60629,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,7.548484818713429,2.4,33958.36363636364,0
10,13,90650,CA,CA,Norwalk,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,11.622926811232222,2.8,49331.72727272727,0
11,15,37013,TN,TN,Nashville,"Nashville-Davidson--Murfreesboro--Franklin, TN",Davidson County,-1.8993700676622305,3.8,48830.181818181816,2
13,17,10467,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Bronx County,6.786889400566485,1.2,35445.454545454544,0
14,18,11373,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,7.481933085974102,-0.4,48158.09090909091,0
15,19,11226,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,2.912856456069416,0.0,49072.81818181818,0
16,20,11207,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,5.467135616631173,1.2,34226.90909090909,0
17,21,30044,GA,GA,Lawrenceville,"Atlanta-Sandy Springs-Alpharetta, GA",Gwinnett County,0.609049823653546,5.8,50987.72727272727,0
18,22,90044,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,8.030802858467604,2.3,28074.272727272728,0
19,23,92336,CA,CA,Fontana,"Riverside-San Bernardino-Ontario, CA",San Bernardino County,9.790610836294976,5.0,81284.45454545454,0
20,24,94565,CA,CA,Pittsburg,"San Francisco-Oakland-Berkeley, CA",Contra Costa County,4.772530983288555,0.5,56854.81818181818,0
21,25,77573,TX,TX,League City,"Houston-The Woodlands-Sugar Land, TX",Galveston County,3.776065122167189,2.6,73122.54545454546,0
24,28,90250,CA,CA,Hawthorne,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,3.007732982389003,2.3,50364.0,0
25,29,10025,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,3.361394451467405,-0.1,91156.45454545454,0
26,30,75052,TX,TX,Grand Prairie,"Dallas-Fort Worth-Arlington, TX",Dallas County,-2.2155901942564875,3.8,58780.181818181816,0
27,31,90805,CA,CA,Long Beach,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,6.592815801253024,2.7,45547.90909090909,0
28,32,11214,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,11.318504348781584,0.2,47590.27272727273,0
29,33,60618,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,8.165734079603924,1.7,68892.09090909091,0
33,37,91342,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,4.258616423354526,3.1,53154.09090909091,0
34,38,92683,CA,CA,Westminster,"Los Angeles-Long Beach-Anaheim, CA",Orange County,0.5746280862765804,3.5,53113.27272727273,0
35,39,10314,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Richmond County,15.405884810219158,0.9,53978.63636363636,0
